x_(px)  Y_(px)  Channel
345.65261 399.46545 2
346.42871 628.36282 1
347.03581 652.99232 2
347.58036 389.43276 2
347.66909 674.61233 1
347.97083 601.98295 2
348.09819 478.54132 2
348.41285 543.5127  2
348.6102  547.9539  1
349.19825 558.8794  2
349.95295 597.05295 1
350.49061 357.98049 2
351.97302 390.49802 1
352.11399 491.67783 2
354.1568  468.92173 2
354.44801 375.30981 2
354.56469 430.868 1
354.87665 406.29633 2
355.00098 670.29573 2
356.04807 434.41669 2
356.35065 681.46696 2
357.10214 623.64576 2
357.17413 665.86657 1
357.26964 627.99594 1
357.36091 676.56365 1
357.98009 373.5258  1
358.26128 501.93157 2
358.46591 471.59535 1
360.12749 758.52693 2
360.50168 499.02856 1
362.44995 754.60812 1
363.59993 389.38819 2
364.16562 384.59415 1
365.46407 641.97963 1
365.49021 561.87554 2
365.56938 611.58366 2
366.00411 617.24587 1
366.04616 367.1516  1
366.32973 477.39567 1
366.4573  530.53051 1
366.55621 483.33206 2
367.51917 361.82376 2
368.11891 598.82732 2
368.46505 525.71496 2
369.68757 722.00602 2
370.00471 560.50699 1
371.76942 503.43384 2
372.04604 754.64057 2
372.36336 736.59578 2
372.49184 740.80548 1
373.00285 598.61202 1
373.11765 725.94553 1
373.9518  433.90226 2
374.68895 368.04309 1
375.07381 751.86631 1
375.89869 629.10885 1
375.99212 502.56213 1
376.01567 624.0035  2
376.68229 610.4317  2
377.93149 605.94559 1
378.05501 436.52533 1
378.05584 368.03357 2
378.46152 785.0134  2
378.55161 556.47848 2
379.00556 246.99301 1
379.57733 547.50285 1
380.17479 541.42403 2
380.25364 347.51796 2
380.68  599.91135 2
380.78536 1002.99499  2
381.01958 618.97369 1
381.19717 459.71157 2
381.34518 380.33618 1
381.5123  353.0248  1
382.20152 446.75986 2
382.43716 787.42003 1
382.48981 553.51716 1
383.19035 523.57518 2
383.33427 382.10827 2
383.5082  492.47049 2
383.96674 35.97637  1
384.23415 393.05655 1
384.45155 528.49234 1
384.63029 395.37882 2
384.92959 460.36214 1
385.54077 777.02493 1
386.22716 571.24503 2
386.28432 802.53939 2
386.30349 469.00093 2
387.32518 223.00503 2
387.40945 232.96091 2
387.5232  426.64637 2
387.76679 617.97971 2
387.76705 493.31864 1
388.00734 362.59592 1
388.06146 655.19739 2
388.46541 643.36511 2
389.06779 363.43763 2
389.37773 499.93443 2
390.06496 466.06305 1
390.47761 569.89989 1
390.87757 561.03389 1
390.96896 502.60247 1
390.99789 776.55293 2
391.06304 804.5474  1
391.16336 534.55616 2
391.39197 436.21007 2
391.43753 665.73891 2
391.81667 640.49005 1
392.11187 661.24501 1
393.50121 765.0329  2
394.7009  557.07438 2
395.0864  533.09292 1
395.55386 776.83862 1
396.90228 217.38294 2
397.30228 438.26629 1
398.05605 211.40111 1
398.27418 466.77135 2
398.27869 155.98005 2
399.44152 575.00012 1
400.14945 481.3715  2
400.41585 236.62468 1
400.59718 176.44719 2
400.6772  462.35062 1
401.99312 164.82781 2
402.08823 146.89586 2
402.791 347.47339 1
404.05342 481.27971 1
404.17674 750.65681 2
404.26184 239.56733 2
404.46479 226.00357 2
404.72332 342.39993 2
405.25843 127.97047 2
405.55195 375.57696 1
405.59495 178.60207 1
405.93965 336.41731 1
406.09642 437.91189 2
406.27432 531.16607 2
406.48872 738.42437 2
406.54642 332.024 2
406.86378 753.81435 1
407.0088  222.98083 1
407.05413 394.42565 2
407.21413 256.17223 2
407.21524 150.57226 1
407.25463 196.87181 2
407.53847 251.00005 1
407.71923 378.74426 2
408.85236 810.43286 2
408.95427 382.96098 1
409.2643  528.30727 1
409.60234 577.70294 2
409.93067 814.1036  1
410.6903  392.43412 1
411.12603 131.27545 1
411.56244 180.19884 2
411.63459 263.32268 1
412.58124 712.72524 2
412.5954  475.36941 2
413.02871 574.20853 1
413.08408 591.21898 2
413.15997 684.59451 2
413.38074 464.5189  1
413.68459 138.28276 2
413.75762 110.66179 1
413.89726 823.45075 2
413.95978 268.14998 2
414.11408 471.02111 1
414.18671 458.85268 2
414.38334 205.68609 2
414.95342 252.0488  1
415.14316 519.43378 1
416.00208 224.40253 2
416.39306 326.63285 2
416.44084 714.00717 1
